state,storms,deaths
ALABAMA,1300,14
ALASKA,205,2
AMERICAN SAMOA,13,0
ARIZONA,498,13
ARKANSAS,1212,9
ATLANTIC NORTH,707,1
ATLANTIC SOUTH,498,3
CALIFORNIA,1889,56
COLORADO,1094,4
CONNECTICUT,201,2
DELAWARE,152,0
DISTRICT OF COLUMBIA,46,0
E PACIFIC,12,0
FLORIDA,1155,101
GEORGIA,1679,21
GUAM,7,1
GULF OF MEXICO,929,1
HAWAII,629,3
HAWAII WATERS,1,0
IDAHO,520,3
ILLINOIS,1730,11
INDIANA,954,8
IOWA,1896,2
KANSAS,2153,5
KENTUCKY,1345,5
LAKE ERIE,72,0
LAKE HURON,24,0
LAKE MICHIGAN,128,0
LAKE ONTARIO,22,0
LAKE ST CLAIR,28,0
LAKE SUPERIOR,84,0
LOUISIANA,821,7
MAINE,368,0
MARYLAND,851,1
MASSACHUSETTS,757,3
MICHIGAN,628,13
MINNESOTA,1313,7
MISSISSIPPI,1033,10
MISSOURI,2289,16
MONTANA,969,4
NEBRASKA,1544,0
NEVADA,272,121
NEW HAMPSHIRE,295,0
NEW JERSEY,628,11
NEW MEXICO,761,9
NEW YORK,2024,2
NORTH CAROLINA,1224,17
NORTH DAKOTA,720,0
OHIO,1473,2
OKLAHOMA,1933,8
OREGON,398,17
PENNSYLVANIA,1494,8
PUERTO RICO,219,5
RHODE ISLAND,68,0
SOUTH CAROLINA,912,5
SOUTH DAKOTA,1423,3
ST LAWRENCE R,2,0
TENNESSEE,1404,3
TEXAS,3621,184
UTAH,262,0
VERMONT,346,0
VIRGIN ISLANDS,3,0
VIRGINIA,1544,4
WASHINGTON,521,3
WEST VIRGINIA,631,3
WISCONSIN,1346,23
WYOMING,1641,2
